reference_de_la_notice;region;commune;adresse_forme_editoriale;coordonnees;titre_courant;departement_en_lettres
ACR0000370;Centre-Val de Loire;Tours;Rue Paul-Langevin / rue Georges-Renard / rue Bergson / rue Edouard-Branly / ruecClément-Ader / passage Clément-Ader;"47.3752383515437, 0.705109167702564";Cité-jardin Beaujardin;Indre-et-Loire
ACR0000371;Centre-Val de Loire;Tours;"""Rue du Général-Renault rue du Sénateur-Belle place Albert-Letellier Clément-Ader / passage Clément-Ader""";"47.3809600089394, 0.669585913730248";Cité-jardin Belle ou du Général-Renault;Indre-et-Loire
ACR0000374;Centre-Val de Loire;Tours;72 rue Roger-Salengro;"47.3857506527012, 0.681116183045354";Église Sainte-Jeanne-d’Arc;Indre-et-Loire
ACR0000376;Centre-Val de Loire;Tours;9 place du Général Leclerc;"47.3900570424704, 0.692535496301233";Grand Hôtel;Indre-et-Loire
ACR0000379;Centre-Val de Loire;Tours;15 rue du Champ-de-Mars;"47.394759070239, 0.675402672253968";"""L’Etoile bleue, ancienne maison close, actuelle Jeune Chambre économique de Touraine""";Indre-et-Loire
ACR0000389;Centre-Val de Loire;"""Chalette-sur- Loing""";Quartier de Vésines / rue de l’Abbé-Edmond-Chambelland;"48.0170562802493, 2.7140324433165";Église Sainte-Thérèse-de-l’Enfant-Jésus de Vésines;Loiret
ACR0000399;Centre-Val de Loire;Orléans;Quartier de l’Argonne / 140 rue de l’Argonne;"47.9140894147798, 1.9321495247493303";Église des Peuples-du-Monde (paroisse Saint-Jean-Bosco);Loiret
ACR0000407;Centre-Val de Loire;Orléans;1 place Gambetta;"47.9075972162365, 1.9004560118961702";Médiathèque;Loiret
ACR0000409;Centre-Val de Loire;Orléans;88 rue du Colombier / boulevard Rocheplatte;"47.9044491787964, 1.89657119840294";FRAC - Centre-Val de Loire;Loiret
ACR0000420;Centre-Val de Loire;Saint-Jean-de-Braye;78 avenue Charles-Péguy;"47.9051611489895, 1.9486801908020899";Centre administratif Malakoff-Médéric;Loiret
ACR0000422;Centre-Val de Loire;Sully-sur-Loire;Plusieurs îlots du centre-ville;;Ilots de la Reconstruction;Loiret
ACR0000423;Centre-Val de Loire;Blois;4-6 place Jean-Jaurès;"47.590909880198, 1.33595197140757";Bibliothèque Abbé-Grégoire;Loir-et-Cher
ACR0000432;Centre-Val de Loire;Blois;1-7 et 2-6 rue Denis-Papin / 1 et 2 rue Émile-Laurens / 2 rue du Maréchal-Lattre-de- Tassigny 2 rue des Orfèvres / 2-6 et 3-5 rond-point de la Résistance;"47.5861714179747, 1.3358790866495003";Tête de pont de la rive droite;Loir-et-Cher
ACR0000442;Centre-Val de Loire;Saint-Laurent-Nouan;L’Île aux Mouettes;"47.7199218475229, 1.5778744560688";Centrale nucléaire de Saint-Laurent-des-Eaux;Loir-et-Cher
ACR0000453;Grand Est;Charleville-Mézières;5 rue Gervaise;"49.7723770543642, 4.71417909531015";Établissement administratif d’EDF;Ardennes
ACR0000455;Grand Est;Revin;rue Jean-Moulin / place Saint-Jean rue de la Chapelle rue Roland-Perrot rue Saint-Jean / rue des Jardins boulevard Firmin-Leguet rue de Sartnizon place Théodore-Faure / rue Saint-Eloi;"49.9308196152358, 4.63930125756691";Cité-jardin Faure;Ardennes
ACR0000465;Grand Est;Saint-André-les-Vergers;rue du Fossé noir;"48.2870958020173, 4.04817943594037";Maison Dick;Aube
ACR0000469;Grand Est;Troyes;villa Jules-Guesde;"48.2859153008969, 4.08365136957849";"Immeubles d’Habitation à Bon Marché, dits Villa Jules-Guesde";Aube
ACR0000473;Grand Est;Kembs;route de Roseneau;"47.6192219903917, 7.57070593967862";Usine hydroélectrique;Haut-Rhin
ACR0000476;Grand Est;Strasbourg;rue de Rotterdam;"48.5840572937303, 7.778929518947651";Cité Rotterdam;Bas-Rhin
ACR0000478;Grand Est;Strasbourg;allée des Droits-de-l’homme;"48.596653361512, 7.774335549974171";Cours européenne des droits de l’homme;Bas-Rhin
ACR0000499;Grand Est;Chalindrey;4 avenue Gambetta;"47.802174311273, 5.44554737961818";Rotonde SNCF;Haute-Marne
ACR0000506;Grand Est;Bennwihr;place de la Mairie;"48.1446304610402, 7.3249313002115795";Église Saint-Pierre-et-Paul;Haut-Rhin
